Order ID,Seller SKU,Product Name,Quantity,SKU Unit Original Price,Created Time,Order Status,Order Refund Amount,SKU Subtotal After Discount,SKU Seller Discount,Cancelation/Return Type
--- do not read this row ---,,,,,,,,,,
TT100001,DEMO-SKU-001,Demo product 1,3,356000,2026/04/19 00:00:00,Completed,0,1068000,0,
TT100001,DEMO-SKU-002,Demo product 2,1,126000,2026/04/19 00:00:00,Completed,0,113400,12600,
TT100001,DEMO-SKU-003,Demo product 3,3,107000,2026/04/19 00:00:00,Completed,0,288900,32100,
TT100002,DEMO-SKU-002,Demo product 2,1,154000,2026/04/27 00:00:00,Completed,0,138600,15400,
TT100002,DEMO-SKU-003,Demo product 3,1,348000,2026/04/27 00:00:00,Completed,0,330600,17400,
TT100002,DEMO-SKU-004,Demo product 4,1,119000,2026/04/27 00:00:00,Completed,0,113050,5950,
TT100003,DEMO-SKU-003,Demo product 3,3,314000,2026/04/28 00:00:00,Completed,0,894900,47100,
TT100003,DEMO-SKU-004,Demo product 4,3,96000,2026/04/28 00:00:00,Completed,0,288000,0,
TT100004,DEMO-SKU-004,Demo product 4,1,394000,2026/05/01 00:00:00,Completed,0,354600,39400,
TT100004,DEMO-SKU-005,Demo product 5,3,83000,2026/05/01 00:00:00,Completed,0,224100,24900,
TT100004,DEMO-SKU-006,Demo product 6,2,139000,2026/05/01 00:00:00,Completed,0,278000,0,
TT100005,DEMO-SKU-005,Demo product 5,2,242000,2026/05/01 00:00:00,Completed,0,484000,0,
TT100005,DEMO-SKU-006,Demo product 6,3,384000,2026/05/01 00:00:00,Completed,0,1094400,57600,
TT100005,DEMO-SKU-007,Demo product 7,1,237000,2026/05/01 00:00:00,Completed,0,237000,0,
TT100006,DEMO-SKU-006,Demo product 6,2,105000,2026/05/05 00:00:00,Completed,0,210000,0,
TT100007,DEMO-SKU-007,Demo product 7,1,302000,2026/05/09 00:00:00,Completed,0,302000,0,
TT100007,DEMO-SKU-008,Demo product 8,2,177000,2026/05/09 00:00:00,Completed,0,336300,17700,
TT100008,DEMO-SKU-008,Demo product 8,1,155000,2026/04/23 00:00:00,Completed,0,147250,7750,
TT100008,DEMO-SKU-009,Demo product 9,3,189000,2026/04/23 00:00:00,Completed,0,567000,0,
TT100008,DEMO-SKU-010,Demo product 10,2,309000,2026/04/23 00:00:00,Completed,0,587100,30900,
TT100009,DEMO-SKU-009,Demo product 9,1,306000,2026/04/29 00:00:00,Completed,0,275400,30600,
TT100010,DEMO-SKU-010,Demo product 10,2,391000,2026/04/26 00:00:00,Completed,0,742900,39100,
TT100010,DEMO-SKU-011,Demo product 11,3,233000,2026/04/26 00:00:00,Completed,0,629100,69900,
TT100010,DEMO-SKU-000,Demo product 0,2,237000,2026/04/26 00:00:00,Completed,0,474000,0,
TT100011,DEMO-SKU-011,Demo product 11,2,82000,2026/04/29 00:00:00,Completed,0,164000,0,
TT100011,DEMO-SKU-000,Demo product 0,1,223000,2026/04/29 00:00:00,Completed,0,211850,11150,
TT100011,DEMO-SKU-001,Demo product 1,3,81000,2026/04/29 00:00:00,Completed,0,230850,12150,
TT100012,DEMO-SKU-000,Demo product 0,2,200000,2026/05/01 00:00:00,Completed,0,360000,40000,
TT100012,DEMO-SKU-001,Demo product 1,3,227000,2026/05/01 00:00:00,Completed,0,646950,34050,
TT100012,DEMO-SKU-002,Demo product 2,2,81000,2026/05/01 00:00:00,Completed,0,162000,0,
TT100013,DEMO-SKU-001,Demo product 1,3,65000,2026/05/15 00:00:00,Completed,0,195000,0,
TT100014,DEMO-SKU-002,Demo product 2,1,158000,2026/05/14 00:00:00,Completed,0,150100,7900,
